sample	value
TCGA-AO-A03N-01B	0.5571
TCGA-AO-A03N-01B	0.0155
TCGA-AO-A03N-01B	-1.5385
TCGA-AO-A03N-01B	0.0066
TCGA-AO-A03N-01B	0.5772
TCGA-AO-A03N-01B	0.0255
TCGA-AO-A03N-01B	-1.6526
TCGA-AO-A03N-01B	0.0037
TCGA-AO-A03N-01B	0.0378
TCGA-AO-A03N-01B	0.0041
TCGA-AO-A03N-01B	0.2808
TCGA-AO-A03N-01B	0.1423
TCGA-AO-A03N-01B	-0.1612
TCGA-AO-A03N-01B	0.1518
TCGA-AO-A03N-01B	0.2049
TCGA-AO-A03N-01B	0.1503
TCGA-AO-A03N-01B	0.1896
TCGA-AO-A03N-01B	0.1425
TCGA-AO-A03N-01B	0.1853
TCGA-AO-A03N-01B	0.1508
TCGA-AO-A03N-01B	0.0128
TCGA-AO-A03N-01B	0.1414
TCGA-AO-A03N-01B	0.003
TCGA-AO-A03N-01B	0.0465
TCGA-AO-A03N-01B	-1.0369
TCGA-AO-A03N-01B	0.034
TCGA-AO-A03N-01B	0.0072
TCGA-AO-A03N-01B	-1.2764
TCGA-AO-A03N-01B	0.0372
TCGA-AO-A03N-01B	0.0028
TCGA-AO-A03N-01B	0.0308
TCGA-AO-A03N-01B	-0.0254
TCGA-AO-A03N-01B	0.0378
TCGA-AO-A03N-01B	0.2923
TCGA-AO-A03N-01B	0.0052
TCGA-AO-A03N-01B	-0.3273
TCGA-AO-A03N-01B	-0.2902
TCGA-AO-A03N-01B	-0.3582
TCGA-AO-A03N-01B	-0.3136
TCGA-AO-A03N-01B	-0.3411
TCGA-AO-A03N-01B	-0.286
TCGA-AO-A03N-01B	-0.3312
TCGA-AO-A03N-01B	-0.2994
TCGA-AO-A03N-01B	-0.3303
TCGA-AO-A03N-01B	0.0502
TCGA-AO-A03N-01B	-0.3133
TCGA-AO-A03N-01B	0.0128
TCGA-AO-A03N-01B	0.0415
TCGA-AO-A03N-01B	-0.0086
TCGA-AO-A03N-01B	0.2781
TCGA-AO-A03N-01B	-0.0116
TCGA-AO-A03N-01B	0.0118
TCGA-AO-A03N-01B	-0.0316
TCGA-AO-A03N-01B	0.014
TCGA-AO-A03N-01B	-0.0077
TCGA-AO-A03N-01B	-1.3336
TCGA-AO-A03N-01B	0.0013
TCGA-AO-A03N-01B	-0.0414
TCGA-AO-A03N-01B	0.004
TCGA-AO-A03N-01B	0.4586
TCGA-AO-A03N-01B	0.2221
TCGA-AO-A03N-01B	0.2722
TCGA-AO-A03N-01B	0.2137
TCGA-AO-A03N-01B	1.5318
TCGA-AO-A03N-01B	0.2421
TCGA-AO-A03N-01B	-0.7337
TCGA-AO-A03N-01B	0.2459
TCGA-AO-A03N-01B	0.447
TCGA-AO-A03N-01B	0.4903
TCGA-AO-A03N-01B	0.416
TCGA-AO-A03N-01B	0.4828
TCGA-AO-A03N-01B	0.437
TCGA-AO-A03N-01B	-0.0667
TCGA-AO-A03N-01B	0.2986
TCGA-AO-A03N-01B	0.0178
TCGA-AO-A03N-01B	0.2147
TCGA-AO-A03N-01B	-0.034
TCGA-AO-A03N-01B	-0.0756
TCGA-AO-A03N-01B	-0.057
TCGA-AO-A03N-01B	-0.0877
TCGA-AO-A03N-01B	-0.0489
TCGA-AO-A03N-01B	-0.0833
TCGA-AO-A03N-01B	-1.6234
